IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.75,66.0,12,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.9,58.0,24,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.46,82.0,2,Tidak,Tinggi,Perempuan,Ya,Tepat Waktu
3.2,,15,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.31,62.0,6,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.31,77.0,22,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.12,97.0,27,Tidak,Sedang,Perempuan,Ya,Tepat Waktu
3.73,78.0,15,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
3.2,62.0,5,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
,95.0,23,Tidak,Tinggi,Laki-laki,Ya,Tepat Waktu
2.04,84.0,24,Tidak,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.94,55.0,26,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
3.66,67.0,2,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.42,100.0,23,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
2.36,54.0,24,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.37,96.0,20,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.61,74.0,9,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.05,51.0,16,Ya,Tinggi,Laki-laki,Ya,Tidak Tepat Waktu
2.86,59.0,22,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.58,79.0,16,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.22,99.0,10,Tidak,Rendah,Perempuan,Tidak,Tepat Waktu
2.28,94.0,22,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.58,54.0,10,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.73,82.0,11,Ya,Sedang,Perempuan,Ya,Tidak Tepat Waktu
2.91,50.0,21,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.57,67.0,26,Tidak,Tinggi,Perempuan,Ya,Tepat Waktu
2.4,81.0,22,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.03,96.0,27,Ya,Sedang,Laki-laki,Ya,Tepat Waktu
3.18,98.0,10,Tidak,Tinggi,Perempuan,Ya,Tepat Waktu
2.09,60.0,4,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.22,70.0,21,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.34,,26,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.13,,27,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.9,71.0,12,Tidak,Sedang,Laki-laki,Ya,Tepat Waktu
3.93,76.0,7,Ya,Tinggi,Laki-laki,Ya,Tidak Tepat Waktu
3.62,98.0,3,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
2.61,62.0,8,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.2,82.0,19,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.37,83.0,28,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.88,90.0,3,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.24,84.0,28,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.99,50.0,18,Tidak,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.07,70.0,12,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.82,97.0,28,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
2.52,55.0,13,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.33,77.0,28,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
2.62,66.0,20,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.04,54.0,23,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.09,80.0,25,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.37,54.0,26,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.94,87.0,8,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
3.55,52.0,21,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.88,72.0,7,Tidak,Tinggi,Perempuan,Tidak,Tepat Waktu
3.79,86.0,22,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
3.2,86.0,25,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.84,59.0,2,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.18,59.0,18,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.39,68.0,30,Tidak,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.09,66.0,12,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.65,70.0,23,Ya,Tinggi,Laki-laki,Ya,Tidak Tepat Waktu
2.78,63.0,27,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.54,58.0,29,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.66,95.0,19,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
2.71,50.0,22,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.56,100.0,18,Tidak,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.09,94.0,8,Tidak,Tinggi,Perempuan,Ya,Tepat Waktu
2.28,62.0,18,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.6,53.0,21,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
,50.0,10,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.97,98.0,18,Tidak,Sedang,Perempuan,Ya,Tepat Waktu
3.54,89.0,21,Tidak,Rendah,Perempuan,Tidak,Tepat Waktu
2.4,81.0,23,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.01,83.0,23,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
,77.0,29,Tidak,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.41,80.0,30,Ya,Sedang,Perempuan,Tidak,Tepat Waktu
3.46,57.0,9,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
3.54,88.0,18,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
2.15,75.0,8,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.72,83.0,2,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.23,52.0,14,Ya,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
3.73,99.0,24,Ya,Tinggi,Perempuan,Tidak,Tepat Waktu
3.25,,20,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.66,50.0,28,Ya,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.13,93.0,25,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
,54.0,20,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.65,79.0,30,Tidak,Tinggi,Laki-laki,Ya,Tepat Waktu
3.46,79.0,18,Ya,Rendah,Laki-laki,Ya,Tepat Waktu
3.28,66.0,14,Ya,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.77,97.0,30,Tidak,Sedang,Laki-laki,Ya,Tepat Waktu
2.94,96.0,17,Tidak,Tinggi,Perempuan,Ya,Tepat Waktu
2.24,72.0,9,Tidak,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.43,64.0,20,Ya,Tinggi,Perempuan,Tidak,Tepat Waktu
3.52,86.0,19,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
3.12,70.0,2,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.54,63.0,15,Tidak,Rendah,Laki-laki,Ya,Tepat Waktu
2.99,51.0,20,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.05,60.0,16,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.86,100.0,19,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.05,88.0,3,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.22,87.0,23,Ya,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.06,83.0,29,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.27,87.0,18,Tidak,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.63,99.0,19,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
3.02,83.0,7,Tidak,Tinggi,Perempuan,Tidak,Tepat Waktu
,67.0,20,Tidak,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.5,,5,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.82,64.0,2,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.51,76.0,9,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
2.46,100.0,30,Ya,Rendah,Perempuan,Tidak,Tepat Waktu
2.15,83.0,24,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.58,87.0,8,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.32,82.0,4,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.86,73.0,11,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.62,64.0,11,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.27,79.0,20,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
3.74,91.0,15,Tidak,Rendah,Laki-laki,Ya,Tepat Waktu
3.61,100.0,3,Tidak,Tinggi,Perempuan,Ya,Tepat Waktu
2.37,66.0,29,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.79,54.0,2,Tidak,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.08,,24,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.61,53.0,24,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
3.79,59.0,29,Ya,Sedang,Perempuan,Tidak,Tepat Waktu
2.64,66.0,19,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.22,59.0,8,Tidak,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
,66.0,30,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.85,69.0,9,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.64,73.0,2,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.72,54.0,26,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.01,83.0,24,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.02,55.0,4,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.83,,25,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.44,62.0,24,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
